id,name,smiles,inchikey,kegg,chebi,role,is_monomer,is_currency,formula,charge,mass
cpd_MNXM1,H(+),[H+],GPRLSGONYQIRFK-UHFFFAOYSA-N,,,cofactor,false,true,H,1,1.00794
cpd_MNXM10,NADH,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](N4C=NC5=C4N=CN=C5N)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,BOPGDPNILDQYTO-NNYOXOHSSA-L,,,cofactor,false,true,C21H27N7O14P2,-2,663.43000
cpd_MNXM100,(2E)-geranyl diphosphate,CC(C)=CCC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-],GVVPGTZRZFNKDS-JXMROGBWSA-K,,,intermediate,false,false,C10H17O7P2,-3,311.18700
cpd_MNXM100173,hexyl butanoate,CCCCCCOC(=O)CCC,XAPCMTMQBXLDBB-UHFFFAOYSA-N,,,intermediate,false,false,C10H20O2,0,172.26800
cpd_MNXM100278,2-methylbutyl butanoate,CCCC(=O)OCC(C)CC,MBZKQDXXFMITAC-UHFFFAOYSA-N,,,intermediate,false,false,C9H18O2,0,158.24100
cpd_MNXM100418,2-methylbutyl hexanoate,CCCCCC(=O)OCC(C)CC,ZWMQVDONBUJJLL-UHFFFAOYSA-N,,,intermediate,false,false,C11H22O2,0,186.29500
cpd_MNXM100421,ethyl (9Z)-hexadecenoate,CCCCCC/C=C\CCCCCCCC(=O)OCC,JELGPLUONQGOHF-KTKRTIGZSA-N,,,intermediate,false,false,C18H34O2,0,282.46800
cpd_MNXM100448,propyl butanoate,CCCOC(=O)CCC,HUAZGNHGCJGYNP-UHFFFAOYSA-N,,,intermediate,false,false,C7H14O2,0,130.18700
cpd_MNXM100497,butyl hexanoate,CCCCCC(=O)OCCCC,RPRPDTXKGSIXMD-UHFFFAOYSA-N,,,intermediate,false,false,C10H20O2,0,172.26800
cpd_MNXM100499,butyl butanoate,CCCCOC(=O)CCC,XUPYJHCZDLZNFP-UHFFFAOYSA-N,,,intermediate,false,false,C8H16O2,0,144.21400
cpd_MNXM10059,3-methoxyanthranilate,COC1=CC=CC(C(=O)[O-])=C1N,SXOPCLUOUFQBJV-UHFFFAOYSA-M,,,intermediate,false,false,C8H8NO3,-1,166.15600
cpd_MNXM10060,3-O-methylkaempferol,COC1=C(C2=CC=C(O)C=C2)OC2=C(C1=O)C(O)=CC([O-])=C2,VJJZJBUCDWKPLC-UHFFFAOYSA-M,,,intermediate,false,false,C16H11O6,-1,299.25800
cpd_MNXM10061,3-methyl-4-nitrocatechol,CC1=C(O)C(O)=CC=C1[N+](=O)[O-],IDTXJDQVEWSWDD-UHFFFAOYSA-N,,,intermediate,false,false,C7H7NO4,0,169.13600
cpd_MNXM10065,3-(methylsulfanyl)propanoyl-CoA,CSCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OP(=O)([O-])[O-],SIEFLYWJLBNLAM-CITAKDKDSA-J,,,intermediate,false,false,C25H38N7O17P3S2,-4,865.66700
cpd_MNXM100679,ethyl decanoate,CCCCCCCCCC(=O)OCC,RGXWDWUGBIJHDO-UHFFFAOYSA-N,,,intermediate,false,false,C12H24O2,0,200.32200
cpd_MNXM10076,17-hydroxy-3-oxo-4-pregnane-20-carboxyl-CoA,C[C@H](C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,UDFHRLPTSACVPG-MAONIQODSA-J,,,intermediate,false,false,C43H62N7O19P3S,-4,1105.98800
cpd_MNXM10077,"3-oxo-24-(isopropanoyl)-cholest-4,24-dien-26-oyl-CoA",C/C(C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OP(=O)([O-])[O-])=C(\CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C(=O)[O-],FRZCQWAOKDDBQN-PPHSXUQISA-I,,,intermediate,false,false,C51H73N7O20P3S,-5,1229.16300
cpd_MNXM10080,"3-oxo-24-ethyl-cholest-4,24-dien-26-oyl-CoA",CC/C(CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)=C(/C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OP(=O)([O-])[O-],ARNXOEVEQJXSEK-VVAMWYHRSA-J,,,intermediate,false,false,C50H74N7O18P3S,-4,1186.16200
cpd_MNXM10094,"7alpha,12alpha-dihydroxy-3-oxochol-24-oyl-CoA",C[C@H](CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4CC(=O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,DABYNUYNLLSQQV-QROUSYAVSA-J,,,intermediate,false,false,C45H68N7O20P3S,-4,1152.05700
cpd_MNXM10099,12alpha-hydroxy-3-oxocholan-24-oyl-CoA,C[C@H](CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4CC(=O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,DUXMITADCRRTKI-REQADMJUSA-J,,,intermediate,false,false,C45H68N7O19P3S,-4,1136.05800
cpd_MNXM10109,3-oxochol-4-en-24-oyl-CoA,C[C@H](CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,VVQGMUPGBRZRFY-ABDXREKHSA-J,,,intermediate,false,false,C45H66N7O18P3S,-4,1118.04300
cpd_MNXM101119,(2R)-2-hydroxyoctadecanoyl-CoA,CCCCCCCCCCCCCCCC[C@@H](O)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OP(=O)([O-])[O-],OJQMIXCIJFLULT-MXQBTARFSA-J,,,intermediate,false,false,C39H66N7O18P3S,-4,1045.97700
cpd_MNXM101321,"(8E,10S)-10-hydroperoxy-octadeca-8-enoate",CCCCCCCC[C@@H](/C=C/CCCCCCC(=O)[O-])OO,HTIQDCPWTUODDW-VMEIHUARSA-M,,,intermediate,false,false,C18H33O4,-1,313.45800
cpd_MNXM101402,13-methyltetradecanal,CC(C)CCCCCCCCCCCC=O,KEKMLOYOUUVRDN-UHFFFAOYSA-N,,,intermediate,false,false,C15H30O,0,226.40400
cpd_MNXM10142,"4,4'-Dihydroxybenzophenone",O=C(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,RXNYJUSEXLAVNQ-UHFFFAOYSA-N,,,intermediate,false,false,C13H10O3,0,214.22000
cpd_MNXM101610,2-amino-Delta(2)-thiazoline-4-carboxylic acid,NC1=NC(C(=O)O)CS1,VHPXSBIFWDAFMB-UHFFFAOYSA-N,,,intermediate,false,false,C4H6N2O2S,0,146.17100
cpd_MNXM1017,butanal,CCCC=O,ZTQSAGDEMFDKMZ-UHFFFAOYSA-N,,,intermediate,false,false,C4H8O,0,72.10700
cpd_MNXM1018,D-arabinitol,OC[C@@H](O)C(O)[C@H](O)CO,HEBKCHPVOIAQTA-QWWZWVQMSA-N,,,intermediate,false,false,C5H12O5,0,152.14600
cpd_MNXM101812,3-bromo-2E-acrylic acid,O=C(O)/C=C/Br,POAWTYXNXPEWCO-OWOJBTEDSA-N,,,intermediate,false,false,C3H3BrO2,0,150.95900
cpd_MNXM101818,3-oxohexadecasphinganine,CCCCCCCCCCCCCC(=O)[C@@H]([NH3+])CO,RYNAFXPWYRVRJV-HNNXBMFYSA-O,,,intermediate,false,false,C16H34NO2,1,272.45300
cpd_MNXM101819,3-oxotetradecasphinganine,CCCCCCCCCCCC(=O)[C@@H]([NH3+])CO,GFRQGVULYBEAES-ZDUSSCGKSA-O,,,intermediate,false,false,C14H30NO2,1,244.39900
cpd_MNXM101831,3-hydroxy-2-methyl-4-pyrone,CC1=C(O)C(=O)C=CO1,XPCTZQVDEJYUGT-UHFFFAOYSA-N,,,intermediate,false,false,C6H6O3,0,126.11100
cpd_MNXM101882,phenylpropanonitrile,N#CCCC1=CC=CC=C1,ACRWYXSKEHUQDB-UHFFFAOYSA-N,,,intermediate,false,false,C9H9N,0,131.17800
cpd_MNXM1020,"(4R,5S)-dethiobiotin",C[C@@H]1NC(=O)N[C@@H]1CCCCCC(=O)[O-],AUTOLBMXDDTRRT-JGVFFNPUSA-M,,,intermediate,false,false,C10H17N2O3,-1,213.25700
cpd_MNXM10203,4-Hydroxyphenyl-4-hydroxybenzoate,O=C(OC1=CC=C(O)C=C1)C1=CC=C(O)C=C1,OQBPCYUKFSJTDU-UHFFFAOYSA-N,,,intermediate,false,false,C13H10O4,0,230.21900
cpd_MNXM10205,4-hydroxyphthalic acid,O=C(O)C1=C(C(=O)O)C=C(O)C=C1,MWRVRCAFWBBXTL-UHFFFAOYSA-N,,,intermediate,false,false,C8H6O5,0,182.13100
cpd_MNXM1021,glutarate,O=C([O-])CCCC(=O)[O-],JFCQEDHGNNZCLN-UHFFFAOYSA-L,,,intermediate,false,false,C5H6O4,-2,130.09900
cpd_MNXM102132,7'-O-demethylcephaeline,CC[C@H]1C[NH+]2CCC3=C(C=C(OC)C(OC)=C3)[C@@H]2C[C@@H]1C[C@H]1[NH2+]CCC2=CC(O)=C(O)C=C21,HGQNZTBYUKKJLH-IKPGRFEGSA-P,,,intermediate,false,false,C27H38N2O4,2,454.61100
cpd_MNXM10225,4-methylumbelliferyl beta-D-glucoside,CC1=CC(=O)OC2=C1C=CC(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)=C2,YUDPTGPSBJVHCN-YMILTQATSA-N,,,intermediate,false,false,C16H18O8,0,338.31200
cpd_MNXM10227,4-nitrotoluene,CC1=CC=C([N+](=O)[O-])C=C1,ZPTVNYMJQHSSEA-UHFFFAOYSA-N,,,intermediate,false,false,C7H7NO2,0,137.13800
cpd_MNXM102272,9-hydroperoxy-10E-octadecenoate,CCCCCCC/C=C/C(CCCCCCCC(=O)[O-])OO,DIKRZYGTMAMIKZ-SDNWHVSQSA-M,,,intermediate,false,false,C18H33O4,-1,313.45800
cpd_MNXM1024,(R)-lipoamide,NC(=O)CCCC[C@@H]1CCSS1,FCCDDURTIIUXBY-SSDOTTSWSA-N,,,intermediate,false,false,C8H15NOS2,0,205.34800
cpd_MNXM10241,2-methoxy-4-vinylphenol,C=CC1=CC(OC)=C(O)C=C1,YOMSJEATGXXYPX-UHFFFAOYSA-N,,,intermediate,false,false,C9H10O2,0,150.17700
cpd_MNXM102521,alpha-D-GlcNAc6S-(1->4)-D-GlcA,CC(=O)N[C@H]1[C@@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2C(=O)O)O[C@H](COS(=O)(=O)O)[C@@H](O)[C@@H]1O,NQEVMSRGYQJUGR-QKJYSWECSA-N,,,intermediate,false,false,C14H23NO15S,0,477.39700
cpd_MNXM102616,alphitonin,O=C1C2=C(O)C=C(O)C=C2OC1(O)CC1=CC=C(O)C(O)=C1,VCLACNNZBMRRES-UHFFFAOYSA-N,,,intermediate,false,false,C15H12O7,0,304.25400
cpd_MNXM10268,5''-phosphoribostamycin,[NH3+]C[C@H]1O[C@H](O[C@H]2[C@H](O[C@@H]3O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]3O)[C@@H](O)[C@H]([NH3+])C[C@@H]2[NH3+])[C@H]([NH3+])[C@@H](O)[C@@H]1O,YSYVVCNYHFEBSE-VVPCINPTSA-P,,,intermediate,false,false,C17H37N4O13P,2,536.47200
cpd_MNXM10278,"5,5'-dehydrodivanillate",COC1=CC(C(=O)[O-])=CC(C2=C(O)C(OC)=CC(C(=O)[O-])=C2)=C1O,QGCWGSXMGCSFDM-UHFFFAOYSA-L,,,intermediate,false,false,C16H12O8,-2,332.26400
cpd_MNXM102797,1-O-eicosanyl (9Z)-octadecenoate,CCCCCCCC/C=C\CCCCCCCC(=O)OCCCCCCCCCCCCCCCCCCCC,HKJBUPVMFYBSHI-PYCFMQQDSA-N,,,intermediate,false,false,C38H74O2,0,563.00800
cpd_MNXM10289,"5-chloro-3,5-cyclohexadiene-l,2-diol-1-carboxylate",O=C([O-])[C@@]1(O)C=C(Cl)C=C[C@@H]1O,GFNZQCPQLXPSEU-CAHLUQPWSA-M,,,intermediate,false,false,C7H6ClO4,-1,189.57400
cpd_MNXM102904,atromentin,O=C1C(O)=C(C2=CC=C(O)C=C2)C(=O)C([O-])=C1C1=CC=C(O)C=C1,FKQQKMGWCJGUCS-UHFFFAOYSA-M,,,intermediate,false,false,C18H11O6,-1,323.28000
cpd_MNXM103008,1-O-docosyl (9Z)-octadecenoate,CCCCCCCC/C=C\CCCCCCCC(=O)OCCCCCCCCCCCCCCCCCCCCCC,QKPJNZCOIFUYNE-MOHJPFBDSA-N,,,intermediate,false,false,C40H78O2,0,591.06200
cpd_MNXM103048,berkeleydione,C=C1[C@@]2(C)C[C@H]3C(C)=C4CC(=O)OC(C)(C)C4=CC[C@]3(C)[C@]1(C(=O)OC)C(=O)[C@@](C)(O)C2=O,RBGYOLFHIDJTOX-VMXKAMJHSA-N,,,intermediate,false,false,C26H32O7,0,456.53500
cpd_MNXM103050,berkeleyone B,C=C1[C@@]2(C)C[C@@H]3[C@](C)(CC=C4C(C)(C)OC(=O)CC[C@]43C)[C@]1(C(=O)OC)C(=O)[C@@](C)(O)C2=O,IWYHWTWGKBGNTO-GSISZECUSA-N,,,intermediate,false,false,C26H34O7,0,458.55100
cpd_MNXM10306,5-fluoro-5-deoxy-D-ribulose 1-phosphate,O=C(COP(=O)([O-])[O-])[C@H](O)[C@H](O)CF,RGVDXIXIXWVTIL-NQXXGFSBSA-L,,,intermediate,false,false,C5H8FO7P,-2,230.08400
cpd_MNXM1031,"(2R,3S)-tartrate",O=C([O-])[C@@H](O)[C@@H](O)C(=O)[O-],FEWJPZIEWOKRBE-XIXRPRMCSA-L,,,intermediate,false,false,C4H4O6,-2,148.07000
cpd_MNXM10310,5-hydroxy-2-oxopentanoate,O=C([O-])C(=O)CCCO,MMTYWJNSFWVPPS-UHFFFAOYSA-M,,,intermediate,false,false,C5H7O4,-1,131.10700
cpd_MNXM103136,beta-D-GlcA-(1->4)-alpha-D-GlcNAc6S-(1->4)-D-GlcA,CC(=O)N[C@H]1[C@@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2C(=O)O)O[C@H](COS(=O)(=O)O)[C@@H](O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]1O,GPVUMDXYYUIUAP-DICUPYAKSA-N,,,intermediate,false,false,C20H31NO21S,0,653.52100
cpd_MNXM1033,(2R)-2-O-(alpha-D-glucopyranosyl)-3-phospho-glycerate,O=C([O-])[C@@H](COP(=O)([O-])[O-])O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,RJDBNSZFZDWPFL-CECBSOHTSA-K,,,intermediate,false,false,C9H14O12P,-3,345.17300
cpd_MNXM10337,(Z)-1-(L-cysteinylglycin-S-yl)-N-hydroxy-omega-(methylsulfanyl)pentan-1-imine,CSCCCC/C(=N/O)SC[C@H]([NH3+])C(=O)NCC(=O)[O-],FPKWDSJLQYQAEF-DAPVSWSBSA-N,,,intermediate,false,false,C11H21N3O4S2,0,323.44000
cpd_MNXM10350,6'''-deamino-6'''-oxoneomycin C,[NH3+]C[C@H]1O[C@H](O[C@H]2[C@H](O[C@@H]3O[C@H](CO)[C@@H](O[C@H]4O[C@H](C=O)[C@@H](O)[C@H](O)[C@H]4[NH3+])[C@H]3O)[C@@H](O)[C@H]([NH3+])C[C@@H]2[NH3+])[C@H]([NH3+])[C@@H](O)[C@@H]1O,ISQZALIQHGXYSL-VZXHOKRSSA-S,,,intermediate,false,false,C23H48N5O14,5,618.65800
cpd_MNXM10351,6'''-deamino-6'''-hydroxyneomycin C,[NH3+]C[C@H]1O[C@H](O[C@H]2[C@H](O[C@@H]3O[C@H](CO)[C@@H](O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4[NH3+])[C@H]3O)[C@@H](O)[C@H]([NH3+])C[C@@H]2[NH3+])[C@H]([NH3+])[C@@H](O)[C@@H]1O,LJQMKWFPBUGQOO-VZXHOKRSSA-S,,,intermediate,false,false,C23H50N5O14,5,620.67400
cpd_MNXM10352,6'-oxoparomamine,[NH3+][C@H]1[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H]([NH3+])C[C@@H]2[NH3+])O[C@H](C=O)[C@@H](O)[C@@H]1O,GLTSSBZZNLCFQJ-HKEUSBCWSA-Q,,,intermediate,false,false,C12H26N3O7,3,324.35400
cpd_MNXM10353,6-Hydroxyferuloyl-CoA,COC1=C(O)C=C(O)C(/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](N3C=NC4=C3N=CN=C4N)[C@H](O)[C@@H]2OP(=O)(O)O)=C1,NWKKCROQKYNXQZ-GVNCYCPWSA-N,,,intermediate,false,false,C31H44N7O20P3S,0,959.71100
cpd_MNXM1037,5-guanidino-2-oxopentanoate,NC(=[NH2+])NCCCC(=O)C(=O)[O-],ARBHXJXXVVHMET-UHFFFAOYSA-N,,,intermediate,false,false,C6H11N3O3,0,173.17200
cpd_MNXM10374,6-(methylsulfanyl)hexyl-desulfoglucosinolate,CSCCCCCC/C(=N/O)S[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,RTWFLPZWHKDFBK-RFEZBLSLSA-N,,,intermediate,false,false,C14H27NO6S2,0,369.50500
cpd_MNXM10376,(Z)-1-(L-cysteinylglycin-S-yl)-N-hydroxy-omega-(methylsulfanyl)hexan-1-imine,CSCCCCC/C(=N/O)SC[C@H]([NH3+])C(=O)NCC(=O)[O-],NNTFOZKQHHVOHU-KOUBLQELSA-N,,,intermediate,false,false,C12H23N3O4S2,0,337.46700
cpd_MNXM10402,"[1-(2-amino-7-methyl-4-oxo-7,8-dihydro-3H-pteridin-6-yl)]ethyl-(4-aminophenyl)-1-deoxy-D-ribitol",C[C@@H]1NC2=C(N=C1[C@@H](C)NC1=CC=C(C[C@H](O)[C@H](O)[C@H](O)CO)C=C1)C(=O)NC(N)=N2,DRRFDRHVSLHJGW-LBCWATLXSA-N,,,intermediate,false,false,C20H28N6O5,0,432.48100
cpd_MNXM104184,(-)-cyclopeptine,CN1C(=O)C2=C(C=CC=C2)NC(=O)[C@@H]1CC1=CC=CC=C1,KSQNKZMAMGACTL-HNNXBMFYSA-N,,,intermediate,false,false,C17H16N2O2,0,280.32700
cpd_MNXM10419,7-hydroxy-2-oxindole-3-acetate,O=C([O-])CC1C(=O)NC2=C1C=CC=C2O,RBODBEHKWJZUBG-UHFFFAOYSA-M,,,intermediate,false,false,C10H8NO4,-1,206.17700
cpd_MNXM10420,7-hydroxy-4'5'-dimethoxyisoflavone,COC1=C(OC)C=C(C2=COC3=CC(O)=CC=C3C2=O)C=C1,VFZIJLPRJAQGFO-UHFFFAOYSA-N,,,intermediate,false,false,C17H14O5,0,298.29400
cpd_MNXM10428,(Z)-1-(L-cysteinylglycin-S-yl)-N-hydroxy-omega-(methylsulfanyl)heptan-1-imine,CSCCCCCC/C(=N/O)SC[C@H]([NH3+])C(=O)NCC(=O)[O-],OLIVGXOVIZTTSI-WSJCWXPMSA-N,,,intermediate,false,false,C13H25N3O4S2,0,351.49400
cpd_MNXM1043,decanoate,CCCCCCCCCC(=O)[O-],GHVNFZFCNZKVNT-UHFFFAOYSA-M,,,intermediate,false,false,C10H19O2,-1,171.26000
cpd_MNXM10430,7-O-beta-D-glucosyl-7-hydroxyflavone,O=C1C=C(C2=CC=CC=C2)OC2=C1C=CC(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)=C2,RZLRADQNIZRGRA-YMQHIKHWSA-N,,,intermediate,false,false,C21H20O8,0,400.38300
cpd_MNXM104344,1-dodecanoyl-2-(9Z)-octadecenoyl-sn-glycerol,CCCCCCCC/C=C\CCCCCCCC(=O)O[C@@H](CO)COC(=O)CCCCCCCCCCC,GFDAVCSAIGBIQQ-WQUIGTGHSA-N,,,intermediate,false,false,C33H62O5,0,538.85400
cpd_MNXM10454,Deoxydesulfoglucohirsutin,CSCCCCCCCC/C(=N/O)S[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,JXHZTRXZIXRIDX-URUUWQEUSA-N,,,intermediate,false,false,C16H31NO6S2,0,397.55900
cpd_MNXM10455,(Z)-1-(L-cysteinylglycin-S-yl)-N-hydroxy-omega-(methylsulfanyl)octan-1-imine,CSCCCCCCC/C(=N/O)SC[C@H]([NH3+])C(=O)NCC(=O)[O-],AFUUQIYPOMVOTN-TUCQUAOGSA-N,,,intermediate,false,false,C14H27N3O4S2,0,365.52100
cpd_MNXM10458,"9R-hydroperoxy(5Z,7E,11Z,14Z)-eicosatetraenoate",CCCCC/C=C\C/C=C\C[C@H](/C=C/C=C\CCCC(=O)[O-])OO,LIYCOTUUWOESJK-AZFZJQGOSA-M,,,intermediate,false,false,C20H31O4,-1,335.46400
cpd_MNXM104652,13-hydroxy-octadecanoate,CCCCCC(O)CCCCCCCCCCCC(=O)[O-],MRWKWISFCDSNQN-UHFFFAOYSA-M,,,intermediate,false,false,C18H35O3,-1,299.47500
cpd_MNXM104655,5-hydroxy-octadecanoate,CCCCCCCCCCCCCC(O)CCCC(=O)[O-],YTITYUDOZJUZBE-UHFFFAOYSA-M,,,intermediate,false,false,C18H35O3,-1,299.47500
cpd_MNXM104659,9-hydroxy-octadecanoate,CCCCCCCCCC(O)CCCCCCCC(=O)[O-],RKHXDCVAPIMDMG-UHFFFAOYSA-M,,,intermediate,false,false,C18H35O3,-1,299.47500
cpd_MNXM10477,(Z)-1-(L-cysteinylglycin-S-yl)-N-hydroxy-omega-(methylsulfanyl)nonan-1-imine,CSCCCCCCCC/C(=N/O)SC[C@H]([NH3+])C(=O)NCC(=O)[O-],XYOACNDOMQSCCR-JYRXDZGKSA-N,,,intermediate,false,false,C15H29N3O4S2,0,379.54800
cpd_MNXM1048,gamma-carotene,CC(C)=CCC/C(C)=C/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C,HRQKOYFGHJYEFS-BXOLYSJBSA-N,,,intermediate,false,false,C40H56,0,536.88800
cpd_MNXM10482,"[(1R,2R,3S,4S)-4-{5-cyano-4-oxo-3H-pyrrolo[2,3-d]pyrimidin-7-yl}-2,3-dihydroxycyclopentyl]methyl phosphate",N#CC1=CN([C@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)C2=C1C(=O)NC=N2,SLSLAOAWXDQJRN-PPSWKLDYSA-L,,,intermediate,false,false,C12H11N4O8P,-2,370.21400
cpd_MNXM104997,2-(4-hydroxybenzyl)-malate,O=C([O-])C[C@@](O)(CC1=CC=C(O)C=C1)C(=O)[O-],XLGKDRSWPCQYAB-NSHDSACASA-L,,,intermediate,false,false,C11H10O6,-2,238.19500
cpd_MNXM10505,cyanophycin primer-L-aspartate,NC(=[NH2+])NCCC[C@H](NC(=O)C[C@H](NC(=O)[C@H](CC(=O)N[C@@H](CCCNC(N)=[NH2+])C(=O)[O-])NC(=O)[C@@H]([NH3+])CC(=O)N[C@@H](CCCNC(N)=[NH2+])C(=O)[O-])C(=O)N[C@@H](CC(=O)[O-])C(=O)[O-])C(=O)[O-],XGIYQBSRCUVADZ-RBZZARIASA-M,,,intermediate,false,false,C34H57N16O16,-1,945.92600
cpd_MNXM105363,(20S)-ginsenoside Rg1,CC(C)=CCC[C@](C)(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O)C(C)(C)[C@@H]3[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C[C@]12C,YURJSTAIMNSZAE-HHNZYBFYSA-N,,,intermediate,false,false,C42H72O14,0,801.02400
cpd_MNXM1054,"4-carboxy-2-hydroxy-cis,cis-muconate",O=C([O-])/C=C(\C=C(\O)C(=O)[O-])C(=O)[O-],QWLUKZXOQAQUFQ-DXLKSGPOSA-K,,,intermediate,false,false,C7H3O7,-3,199.09400
cpd_MNXM10559,aclacinomycin N,CC[C@@]1(O)C[C@H](O[C@H]2C[C@H]([NH+](C)C)[C@H](O[C@H]3C[C@H](O)[C@H](O[C@H]4CC[C@H](O)[C@H](C)O4)[C@H](C)O3)[C@H](C)O2)C2=C(C=C3C(=O)C4=C(C(=O)C3=C2[O-])C(O)=CC=C4)[C@H]1C(=O)OC,CPUWOKRFRYWIHK-BPPBZOKFSA-N,,,intermediate,false,false,C42H55NO15,0,813.89400
cpd_MNXM10560,aclacinomycin S,CC[C@@]1(O)C[C@H](O[C@H]2C[C@H]([NH+](C)C)[C@H](O[C@H]3C[C@H](O)[C@H](O)[C@H](C)O3)[C@H](C)O2)C2=C(C=C3C(=O)C4=C(C(=O)C3=C2[O-])C(O)=CC=C4)[C@H]1C(=O)OC,DNZPQXXGAMXDHH-FCNQEGBTSA-N,,,intermediate,false,false,C36H45NO13,0,699.75000
cpd_MNXM10561,aclacinomycin T,CC[C@@]1(O)C[C@H](O[C@H]2C[C@H]([NH+](C)C)[C@H](O)[C@H](C)O2)C2=C(C=C3C(=O)C4=C(C(=O)C3=C2[O-])C(O)=CC=C4)[C@H]1C(=O)OC,LJZPVWKMAYDYAS-QKKPTTNWSA-N,,,intermediate,false,false,C30H35NO10,0,569.60700
cpd_MNXM10562,aclacinomycin A,CC[C@@]1(O)C[C@H](O[C@H]2C[C@H]([NH+](C)C)[C@H](O[C@H]3C[C@H](O)[C@H](O[C@H]4CCC(=O)[C@H](C)O4)[C@H](C)O3)[C@H](C)O2)C2=C(C=C3C(=O)C4=C(C(=O)C3=C2[O-])C(O)=CC=C4)[C@H]1C(=O)OC,USZYSDMBJDPRIF-SVEJIMAYSA-N,,,intermediate,false,false,C42H53NO15,0,811.87800
