compound_id,reaction_id,role
cpd_MNXM10,rr_MNXR100060,substrate
cpd_MNXM1,rr_MNXR100060,substrate
cpd_glycolate,rr_MNXR100060,substrate
cpd_MNXM734590,rr_MNXR100060,product
cpd_MNXM8,rr_MNXR100060,product
cpd_MNXM1102150,rr_MNXR100064,substrate
cpd_MNXM1277,rr_MNXR100064,substrate
cpd_MNXM729302,rr_MNXR100064,substrate
cpd_MNXM1103936,rr_MNXR100064,product
cpd_MNXM1,rr_MNXR100064,product
cpd_MNXM81220,rr_MNXR100064,product
cpd_MNXM1024,rr_MNXR100066,substrate
cpd_MNXM10,rr_MNXR100066,substrate
cpd_MNXM1,rr_MNXR100066,substrate
cpd_MNXM1277,rr_MNXR100066,product
cpd_MNXM8,rr_MNXR100066,product
cpd_MNXM10,rr_MNXR100083,substrate
cpd_MNXM1312,rr_MNXR100083,substrate
cpd_MNXM1,rr_MNXR100083,substrate
cpd_MNXM1895,rr_MNXR100083,product
cpd_MNXM8,rr_MNXR100083,product
cpd_MNXM1406,rr_MNXR100114,substrate
cpd_MNXM192,rr_MNXR100114,product
cpd_MNXM741173,rr_MNXR100114,product
cpd_MNXM1105856,rr_MNXR100283,substrate
cpd_MNXM1,rr_MNXR100283,substrate
cpd_MNXM40333,rr_MNXR100283,substrate
cpd_MNXM1364061,rr_MNXR100283,product
cpd_MNXM3,rr_MNXR100283,product
cpd_MNXM10,rr_MNXR100310,substrate
cpd_MNXM1136254,rr_MNXR100310,substrate
cpd_MNXM1,rr_MNXR100310,substrate
cpd_MNXM435,rr_MNXR100310,product
cpd_MNXM8,rr_MNXR100310,product
cpd_MNXM10,rr_MNXR100325,substrate
cpd_MNXM1,rr_MNXR100325,substrate
cpd_MNXM392,rr_MNXR100325,substrate
cpd_MNXM1136254,rr_MNXR100325,product
cpd_MNXM8,rr_MNXR100325,product
cpd_MNXM1136254,rr_MNXR100328,substrate
cpd_MNXM3,rr_MNXR100328,substrate
cpd_MNXM1,rr_MNXR100328,product
cpd_MNXM40333,rr_MNXR100328,product
cpd_MNXM727604,rr_MNXR100328,product
cpd_MNXM1136254,rr_MNXR100329,substrate
cpd_MNXM3,rr_MNXR100329,substrate
cpd_MNXM1,rr_MNXR100329,product
cpd_MNXM275,rr_MNXR100329,product
cpd_MNXM40333,rr_MNXR100329,product
cpd_MNXM10,rr_MNXR100331,substrate
cpd_MNXM1,rr_MNXR100331,substrate
cpd_MNXM69,rr_MNXR100331,substrate
cpd_glycolate,rr_MNXR100331,product
cpd_MNXM8,rr_MNXR100331,product
cpd_MNXM1,rr_MNXR100332,substrate
cpd_MNXM69,rr_MNXR100332,substrate
cpd_MNXM738702,rr_MNXR100332,substrate
cpd_glycolate,rr_MNXR100332,product
cpd_MNXM5,rr_MNXR100332,product
cpd_MNXM1136254,rr_MNXR100336,substrate
cpd_MNXM5,rr_MNXR100336,substrate
cpd_MNXM1,rr_MNXR100336,product
cpd_MNXM392,rr_MNXR100336,product
cpd_MNXM738702,rr_MNXR100336,product
cpd_glycolate,rr_MNXR100338,substrate
cpd_MNXM735438,rr_MNXR100338,substrate
cpd_MNXM69,rr_MNXR100338,product
cpd_MNXM732620,rr_MNXR100338,product
cpd_MNXM1368798,rr_MNXR100339,substrate
cpd_glycolate,rr_MNXR100339,substrate
cpd_MNXM191,rr_MNXR100339,product
cpd_MNXM69,rr_MNXR100339,product
cpd_MNXM2178,rr_MNXR100341,substrate
cpd_glycolate,rr_MNXR100341,substrate
cpd_MNXM558,rr_MNXR100341,product
cpd_MNXM69,rr_MNXR100341,product
cpd_MNXM1371362,rr_MNXR100354,substrate
cpd_MNXM1,rr_MNXR100354,substrate
cpd_MNXM310,rr_MNXR100354,product
cpd_MNXM114,rr_MNXR100360,substrate
cpd_MNXM29,rr_MNXR100360,substrate
cpd_MNXM727167,rr_MNXR100360,product
cpd_MNXM13,rr_MNXR100389,substrate
cpd_MNXM145,rr_MNXR100389,substrate
cpd_MNXM738702,rr_MNXR100389,substrate
cpd_MNXM5,rr_MNXR100389,product
cpd_MNXM734080,rr_MNXR100389,product
cpd_MNXM1369256,rr_MNXR100410,substrate
cpd_MNXM1,rr_MNXR100410,product
cpd_MNXM66,rr_MNXR100410,product
cpd_MNXM90,rr_MNXR100410,product
cpd_MNXM117,rr_MNXR100467,substrate
cpd_MNXM192,rr_MNXR100467,substrate
cpd_MNXM1312,rr_MNXR100467,product
cpd_MNXM10,rr_MNXR100553,substrate
cpd_MNXM1105058,rr_MNXR100553,substrate
cpd_MNXM1,rr_MNXR100553,substrate
cpd_MNXM1105921,rr_MNXR100553,product
cpd_MNXM8,rr_MNXR100553,product
cpd_MNXM1105732,rr_MNXR100656,substrate
cpd_MNXM1108156,rr_MNXR100656,substrate
cpd_MNXM1,rr_MNXR100656,substrate
cpd_MNXM728564,rr_MNXR100656,product
cpd_MNXM13,rr_MNXR100700,substrate
cpd_MNXM734590,rr_MNXR100700,substrate
cpd_MNXM1,rr_MNXR100700,product
cpd_MNXM392,rr_MNXR100700,product
cpd_MNXM1103943,rr_MNXR100720,substrate
cpd_MNXM735438,rr_MNXR100720,substrate
cpd_MNXM738702,rr_MNXR100720,substrate
cpd_MNXM1104105,rr_MNXR100720,product
cpd_MNXM1,rr_MNXR100720,product
cpd_MNXM5,rr_MNXR100720,product
cpd_MNXM1103943,rr_MNXR100721,substrate
cpd_MNXM5,rr_MNXR100721,substrate
cpd_MNXM1104105,rr_MNXR100721,product
cpd_MNXM1,rr_MNXR100721,product
cpd_MNXM738702,rr_MNXR100721,product
cpd_MNXM159,rr_MNXR100733,substrate
cpd_MNXM729302,rr_MNXR100733,substrate
cpd_MNXM353,rr_MNXR100733,product
cpd_MNXM1334,rr_MNXR100737,substrate
cpd_MNXM1,rr_MNXR100737,substrate
cpd_MNXM40333,rr_MNXR100737,substrate
cpd_MNXM353,rr_MNXR100737,product
cpd_MNXM3,rr_MNXR100737,product
cpd_MNXM118,rr_MNXR100740,substrate
cpd_MNXM1778,rr_MNXR100740,product
cpd_MNXM729302,rr_MNXR100740,product
cpd_MNXM366,rr_MNXR100763,substrate
cpd_MNXM548,rr_MNXR100763,product
cpd_MNXM9,rr_MNXR100763,product
cpd_MNXM282,rr_MNXR100764,substrate
cpd_MNXM726,rr_MNXR100764,product
cpd_MNXM735438,rr_MNXR100764,product
cpd_MNXM337,rr_MNXR100784,substrate
cpd_MNXM799,rr_MNXR100784,product
cpd_MNXM1170,rr_MNXR100935,substrate
cpd_MNXM1,rr_MNXR100935,substrate
cpd_MNXM1238,rr_MNXR100935,product
cpd_MNXM13,rr_MNXR100935,product
cpd_MNXM1105732,rr_MNXR100946,substrate
cpd_MNXM188,rr_MNXR100946,substrate
cpd_MNXM1,rr_MNXR100946,substrate
cpd_MNXM733142,rr_MNXR100946,product
cpd_MNXM1113,rr_MNXR100949,substrate
cpd_MNXM466,rr_MNXR100949,product
cpd_MNXM1,rr_MNXR101007,substrate
cpd_MNXM310,rr_MNXR101007,substrate
cpd_MNXM738702,rr_MNXR101007,substrate
cpd_MNXM5,rr_MNXR101007,product
cpd_MNXM909,rr_MNXR101007,product
cpd_MNXM10,rr_MNXR101008,substrate
cpd_MNXM1,rr_MNXR101008,substrate
cpd_MNXM310,rr_MNXR101008,substrate
cpd_MNXM8,rr_MNXR101008,product
cpd_MNXM909,rr_MNXR101008,product
cpd_MNXM1105732,rr_MNXR101011,substrate
cpd_MNXM741173,rr_MNXR101011,substrate
cpd_MNXM4026,rr_MNXR101011,product
cpd_MNXM10,rr_MNXR101018,substrate
cpd_lactate,rr_MNXR101018,substrate
cpd_MNXM1,rr_MNXR101018,substrate
cpd_MNXM732880,rr_MNXR101018,product
cpd_MNXM8,rr_MNXR101018,product
cpd_MNXM10,rr_MNXR101019,substrate
cpd_MNXM1371362,rr_MNXR101019,substrate
cpd_MNXM1,rr_MNXR101019,substrate
cpd_MNXM8,rr_MNXR101019,product
cpd_MNXM909,rr_MNXR101019,product
cpd_MNXM13,rr_MNXR101032,substrate
cpd_MNXM282,rr_MNXR101032,substrate
cpd_MNXM1,rr_MNXR101032,product
cpd_MNXM713,rr_MNXR101032,product
cpd_MNXM10,rr_MNXR101037,substrate
cpd_MNXM1,rr_MNXR101037,substrate
cpd_pyruvate,rr_MNXR101037,substrate
cpd_MNXM1371362,rr_MNXR101037,product
cpd_MNXM8,rr_MNXR101037,product
cpd_MNXM1368798,rr_MNXR101039,substrate
cpd_MNXM1371362,rr_MNXR101039,substrate
cpd_MNXM191,rr_MNXR101039,product
cpd_pyruvate,rr_MNXR101039,product
cpd_MNXM10,rr_MNXR101040,substrate
cpd_MNXM1,rr_MNXR101040,substrate
cpd_pyruvate,rr_MNXR101040,substrate
cpd_lactate,rr_MNXR101040,product
cpd_MNXM8,rr_MNXR101040,product
cpd_MNXM1105732,rr_MNXR101060,substrate
cpd_MNXM1,rr_MNXR101060,substrate
cpd_MNXM2265,rr_MNXR101060,substrate
cpd_MNXM727852,rr_MNXR101060,product
cpd_MNXM1104012,rr_MNXR101063,substrate
cpd_MNXM1105737,rr_MNXR101063,substrate
cpd_MNXM727276,rr_MNXR101063,product
cpd_MNXM8842,rr_MNXR101063,product
cpd_MNXM1105737,rr_MNXR101105,substrate
cpd_MNXM735506,rr_MNXR101105,substrate
cpd_MNXM727276,rr_MNXR101105,product
cpd_MNXM8847,rr_MNXR101105,product
cpd_MNXM108,rr_MNXR101151,substrate
cpd_MNXM1364224,rr_MNXR101151,substrate
cpd_MNXM1,rr_MNXR101151,substrate
cpd_MNXM32511,rr_MNXR101151,product
cpd_MNXM1107900,rr_MNXR101152,substrate
cpd_MNXM1364224,rr_MNXR101152,substrate
cpd_MNXM1,rr_MNXR101152,substrate
cpd_MNXM6601,rr_MNXR101152,product
cpd_MNXM108,rr_MNXR101158,substrate
cpd_MNXM1106891,rr_MNXR101158,substrate
cpd_MNXM1,rr_MNXR101158,substrate
cpd_MNXM6605,rr_MNXR101158,product
cpd_MNXM1106891,rr_MNXR101159,substrate
cpd_MNXM1107900,rr_MNXR101159,substrate
cpd_MNXM1,rr_MNXR101159,substrate
cpd_MNXM6606,rr_MNXR101159,product
cpd_MNXM1106891,rr_MNXR101160,substrate
cpd_MNXM1,rr_MNXR101160,substrate
cpd_MNXM236,rr_MNXR101160,substrate
cpd_MNXM739301,rr_MNXR101160,product
cpd_MNXM1106891,rr_MNXR101161,substrate
cpd_MNXM1364393,rr_MNXR101161,substrate
cpd_MNXM1,rr_MNXR101161,substrate
cpd_MNXM739929,rr_MNXR101161,product
cpd_MNXM1,rr_MNXR101242,substrate
cpd_MNXM2124,rr_MNXR101242,substrate
cpd_MNXM738702,rr_MNXR101242,substrate
cpd_MNXM5,rr_MNXR101242,product
cpd_MNXM737787,rr_MNXR101242,product
cpd_MNXM142,rr_MNXR101251,substrate
cpd_MNXM3,rr_MNXR101251,substrate
cpd_MNXM1492,rr_MNXR101251,product
cpd_MNXM1,rr_MNXR101251,product
cpd_MNXM40333,rr_MNXR101251,product
cpd_MNXM1368798,rr_MNXR101273,substrate
cpd_lactate,rr_MNXR101273,substrate
cpd_MNXM191,rr_MNXR101273,product
cpd_pyruvate,rr_MNXR101273,product
cpd_MNXM10,rr_MNXR101339,substrate
cpd_MNXM13,rr_MNXR101339,substrate
cpd_pyruvate,rr_MNXR101339,substrate
cpd_MNXM1608,rr_MNXR101339,product
cpd_MNXM8,rr_MNXR101339,product
cpd_MNXM10,rr_MNXR101419,substrate
cpd_MNXM1214,rr_MNXR101419,substrate
cpd_MNXM1,rr_MNXR101419,substrate
cpd_MNXM739426,rr_MNXR101419,product
cpd_MNXM8,rr_MNXR101419,product
cpd_MNXM399,rr_MNXR101420,substrate
cpd_MNXM729799,rr_MNXR101420,substrate
cpd_MNXM671,rr_MNXR101420,product
cpd_MNXM10,rr_MNXR101439,substrate
cpd_MNXM1,rr_MNXR101439,substrate
cpd_MNXM46,rr_MNXR101439,substrate
cpd_MNXM1107192,rr_MNXR101439,product
cpd_MNXM8,rr_MNXR101439,product
cpd_MNXM1107192,rr_MNXR101440,substrate
cpd_MNXM1368798,rr_MNXR101440,substrate
cpd_MNXM191,rr_MNXR101440,product
cpd_MNXM46,rr_MNXR101440,product
cpd_MNXM1107192,rr_MNXR101443,substrate
cpd_MNXM5,rr_MNXR101443,substrate
cpd_MNXM13,rr_MNXR101443,product
cpd_pyruvate,rr_MNXR101443,product
cpd_MNXM738702,rr_MNXR101443,product
cpd_MNXM1107192,rr_MNXR101444,substrate
cpd_MNXM5,rr_MNXR101444,substrate
cpd_MNXM1,rr_MNXR101444,product
cpd_MNXM46,rr_MNXR101444,product
cpd_MNXM738702,rr_MNXR101444,product
cpd_MNXM10,rr_MNXR101446,substrate
cpd_MNXM13,rr_MNXR101446,substrate
cpd_pyruvate,rr_MNXR101446,substrate
cpd_MNXM1107192,rr_MNXR101446,product
cpd_MNXM8,rr_MNXR101446,product
cpd_MNXM1102866,rr_MNXR101452,substrate
cpd_MNXM40333,rr_MNXR101452,substrate
cpd_MNXM9,rr_MNXR101452,substrate
cpd_MNXM1371057,rr_MNXR101452,product
cpd_MNXM3,rr_MNXR101452,product
cpd_MNXM727276,rr_MNXR101452,product
cpd_MNXM1102866,rr_MNXR101453,substrate
cpd_MNXM1103285,rr_MNXR101453,substrate
cpd_MNXM9,rr_MNXR101453,substrate
cpd_MNXM1103553,rr_MNXR101453,product
cpd_MNXM1371057,rr_MNXR101453,product
cpd_MNXM727276,rr_MNXR101453,product
cpd_MNXM1102866,rr_MNXR101469,substrate
cpd_MNXM1104266,rr_MNXR101469,product
cpd_pyruvate,rr_MNXR101469,product
cpd_MNXM1102866,rr_MNXR101512,substrate
cpd_MNXM163785,rr_MNXR101512,product
cpd_MNXM310,rr_MNXR101551,substrate
cpd_MNXM9,rr_MNXR101551,substrate
cpd_MNXM77,rr_MNXR101551,product
cpd_MNXM1372044,rr_MNXR101552,substrate
cpd_MNXM1,rr_MNXR101552,product
cpd_MNXM310,rr_MNXR101552,product
cpd_MNXM9,rr_MNXR101552,product
cpd_MNXM1105855,rr_MNXR101576,substrate
cpd_MNXM1364686,rr_MNXR101576,product
cpd_MNXM10,rr_MNXR101667,substrate
cpd_MNXM1364266,rr_MNXR101667,substrate
cpd_MNXM13,rr_MNXR101667,substrate
cpd_MNXM1105058,rr_MNXR101667,product
cpd_MNXM727276,rr_MNXR101667,product
cpd_MNXM8,rr_MNXR101667,product
cpd_MNXM1368841,rr_MNXR101737,substrate
cpd_MNXM1,rr_MNXR101737,substrate
cpd_MNXM738702,rr_MNXR101737,substrate
cpd_MNXM5,rr_MNXR101737,product
cpd_MNXM872,rr_MNXR101737,product
cpd_MNXM1062,rr_MNXR101860,substrate
cpd_MNXM1093051,rr_MNXR101860,product
cpd_MNXM26,rr_MNXR101860,product
cpd_MNXM1,rr_MNXR101885,substrate
cpd_MNXM436,rr_MNXR101885,substrate
cpd_MNXM5,rr_MNXR101885,substrate
cpd_MNXM344,rr_MNXR101885,product
cpd_MNXM8,rr_MNXR101885,product
cpd_MNXM1215,rr_MNXR101908,substrate
cpd_MNXM164994,rr_MNXR101908,substrate
cpd_MNXM1,rr_MNXR101908,substrate
cpd_MNXM1872,rr_MNXR101908,product
cpd_MNXM5455,rr_MNXR101908,product
cpd_MNXM1577,rr_MNXR101917,substrate
cpd_MNXM217,rr_MNXR101917,product
cpd_MNXM29,rr_MNXR101917,product
cpd_MNXM1,rr_MNXR101932,substrate
cpd_MNXM234,rr_MNXR101932,substrate
cpd_MNXM9,rr_MNXR101932,substrate
cpd_MNXM572,rr_MNXR101932,product
cpd_MNXM1,rr_MNXR101944,substrate
cpd_MNXM39,rr_MNXR101944,substrate
cpd_MNXM902,rr_MNXR101944,substrate
cpd_MNXM2024,rr_MNXR101944,product
cpd_MNXM1108016,rr_MNXR101969,substrate
cpd_MNXM729302,rr_MNXR101969,substrate
cpd_MNXM355,rr_MNXR101969,product
cpd_MNXM216,rr_MNXR101977,substrate
cpd_MNXM274,rr_MNXR101977,product
cpd_MNXM729302,rr_MNXR101977,product
cpd_MNXM1108016,rr_MNXR101979,substrate
cpd_MNXM1531,rr_MNXR101979,substrate
cpd_MNXM1224,rr_MNXR101979,product
cpd_MNXM1,rr_MNXR101979,product
cpd_MNXM274,rr_MNXR101979,product
cpd_MNXM1368744,rr_MNXR101999,substrate
cpd_MNXM1,rr_MNXR101999,substrate
cpd_MNXM738702,rr_MNXR101999,substrate
cpd_MNXM739527,rr_MNXR101999,substrate
cpd_MNXM3248,rr_MNXR101999,product
cpd_MNXM5,rr_MNXR101999,product
cpd_MNXM234,rr_MNXR102028,substrate
cpd_MNXM492,rr_MNXR102028,product
cpd_MNXM9,rr_MNXR102028,product
cpd_MNXM1,rr_MNXR102044,substrate
cpd_MNXM436,rr_MNXR102044,substrate
cpd_MNXM9,rr_MNXR102044,substrate
cpd_MNXM344,rr_MNXR102044,product
cpd_MNXM1,rr_MNXR102057,substrate
cpd_MNXM332,rr_MNXR102057,substrate
cpd_MNXM647,rr_MNXR102057,substrate
cpd_MNXM344,rr_MNXR102057,product
cpd_MNXM1746,rr_MNXR102070,substrate
cpd_MNXM383,rr_MNXR102070,product
cpd_MNXM729302,rr_MNXR102070,product
cpd_MNXM1106000,rr_MNXR102084,substrate
cpd_MNXM1364061,rr_MNXR102084,substrate
cpd_MNXM12953,rr_MNXR102084,product
cpd_MNXM1037,rr_MNXR102132,substrate
cpd_MNXM1,rr_MNXR102132,substrate
cpd_MNXM13,rr_MNXR102132,product
cpd_MNXM1895,rr_MNXR102132,product
cpd_MNXM138,rr_MNXR102137,substrate
cpd_MNXM741175,rr_MNXR102137,substrate
cpd_MNXM1,rr_MNXR102137,product
cpd_MNXM732471,rr_MNXR102137,product
cpd_MNXM9,rr_MNXR102137,product
cpd_MNXM1104774,rr_MNXR102150,substrate
cpd_MNXM13761,rr_MNXR102150,substrate
cpd_MNXM2334,rr_MNXR102150,product
cpd_succinate,rr_MNXR102150,product
cpd_MNXM118,rr_MNXR102209,substrate
cpd_MNXM13,rr_MNXR102209,substrate
cpd_MNXM1,rr_MNXR102209,product
cpd_MNXM741175,rr_MNXR102209,product
cpd_MNXM114,rr_MNXR102218,substrate
cpd_MNXM729302,rr_MNXR102218,substrate
cpd_MNXM741175,rr_MNXR102218,product
cpd_MNXM1093051,rr_MNXR102220,substrate
cpd_MNXM741173,rr_MNXR102220,substrate
cpd_MNXM1368744,rr_MNXR102220,product
cpd_MNXM741175,rr_MNXR102220,product
cpd_MNXM1370620,rr_MNXR102221,substrate
cpd_MNXM741175,rr_MNXR102221,substrate
cpd_MNXM741173,rr_MNXR102221,product
cpd_MNXM817,rr_MNXR102221,product
cpd_MNXM1088,rr_MNXR102236,substrate
cpd_MNXM9,rr_MNXR102236,substrate
cpd_MNXM138,rr_MNXR102236,product
cpd_MNXM3329,rr_MNXR102236,product
cpd_MNXM13,rr_MNXR102239,substrate
cpd_MNXM738242,rr_MNXR102239,substrate
cpd_MNXM1,rr_MNXR102239,product
cpd_MNXM618,rr_MNXR102239,product
cpd_MNXM1368744,rr_MNXR102243,substrate
cpd_MNXM1,rr_MNXR102243,substrate
cpd_MNXM13,rr_MNXR102243,product
cpd_MNXM172,rr_MNXR102243,product
cpd_MNXM1021,rr_MNXR102248,substrate
cpd_MNXM10,rr_MNXR102248,substrate
cpd_MNXM1,rr_MNXR102248,substrate
cpd_MNXM1410,rr_MNXR102248,product
cpd_MNXM8,rr_MNXR102248,product
cpd_MNXM11843,rr_MNXR102275,substrate
cpd_MNXM5,rr_MNXR102275,substrate
cpd_MNXM162590,rr_MNXR102275,product
cpd_MNXM1,rr_MNXR102275,product
cpd_MNXM735438,rr_MNXR102275,product
cpd_MNXM738702,rr_MNXR102275,product
cpd_MNXM10,rr_MNXR102301,substrate
cpd_MNXM1,rr_MNXR102301,substrate
cpd_MNXM741173,rr_MNXR102301,substrate
cpd_MNXM1105060,rr_MNXR102301,product
cpd_MNXM8,rr_MNXR102301,product
cpd_MNXM1105060,rr_MNXR102302,substrate
cpd_MNXM1,rr_MNXR102302,substrate
cpd_MNXM738702,rr_MNXR102302,substrate
cpd_MNXM114,rr_MNXR102302,product
cpd_MNXM5,rr_MNXR102302,product
cpd_MNXM10,rr_MNXR102303,substrate
cpd_MNXM1105060,rr_MNXR102303,substrate
cpd_MNXM1,rr_MNXR102303,substrate
cpd_MNXM114,rr_MNXR102303,product
cpd_MNXM8,rr_MNXR102303,product
cpd_MNXM1458,rr_MNXR102311,substrate
cpd_MNXM337,rr_MNXR102311,product
cpd_MNXM729302,rr_MNXR102311,product
cpd_MNXM1104823,rr_MNXR102371,substrate
cpd_MNXM88515,rr_MNXR102371,substrate
cpd_MNXM1371451,rr_MNXR102371,product
cpd_MNXM1,rr_MNXR102371,product
cpd_MNXM730303,rr_MNXR102371,product
cpd_MNXM10,rr_MNXR102437,substrate
cpd_MNXM161,rr_MNXR102437,substrate
cpd_MNXM1,rr_MNXR102437,substrate
cpd_MNXM454,rr_MNXR102437,product
cpd_MNXM8,rr_MNXR102437,product
cpd_MNXM161,rr_MNXR102438,substrate
cpd_MNXM732620,rr_MNXR102438,substrate
cpd_MNXM454,rr_MNXR102438,product
cpd_MNXM735438,rr_MNXR102438,product
cpd_MNXM473,rr_MNXR102461,substrate
cpd_MNXM729302,rr_MNXR102461,substrate
cpd_MNXM732620,rr_MNXR102461,substrate
cpd_MNXM660,rr_MNXR102461,product
cpd_MNXM735438,rr_MNXR102461,product
cpd_MNXM10,rr_MNXR102495,substrate
cpd_MNXM1514,rr_MNXR102495,substrate
cpd_MNXM1,rr_MNXR102495,substrate
cpd_MNXM1407,rr_MNXR102495,product
cpd_MNXM8,rr_MNXR102495,product
cpd_MNXM10,rr_MNXR102527,substrate
cpd_MNXM1,rr_MNXR102527,substrate
cpd_MNXM541,rr_MNXR102527,substrate
cpd_MNXM727604,rr_MNXR102527,product
cpd_MNXM8,rr_MNXR102527,product
cpd_MNXM2074,rr_MNXR102543,substrate
cpd_glycolate,rr_MNXR102543,product
cpd_MNXM9,rr_MNXR102543,product
cpd_MNXM1105856,rr_MNXR102549,substrate
cpd_MNXM1106066,rr_MNXR102549,product
cpd_MNXM13,rr_MNXR102629,substrate
cpd_MNXM5261,rr_MNXR102629,substrate
cpd_MNXM164,rr_MNXR102629,product
cpd_MNXM1,rr_MNXR102629,product
cpd_MNXM9,rr_MNXR102629,product
cpd_MNXM1334,rr_MNXR102639,substrate
cpd_MNXM732923,rr_MNXR102639,substrate
cpd_MNXM731932,rr_MNXR102639,product
cpd_MNXM9,rr_MNXR102639,product
cpd_MNXM13,rr_MNXR102650,substrate
cpd_MNXM660,rr_MNXR102650,substrate
cpd_MNXM1,rr_MNXR102650,product
cpd_MNXM741664,rr_MNXR102650,product
cpd_MNXM108,rr_MNXR102984,substrate
cpd_MNXM1,rr_MNXR102984,substrate
cpd_MNXM34740,rr_MNXR102984,substrate
cpd_MNXM734041,rr_MNXR102984,product
cpd_MNXM1107900,rr_MNXR103000,substrate
cpd_MNXM1,rr_MNXR103000,substrate
cpd_MNXM6601,rr_MNXR103000,substrate
cpd_MNXM739592,rr_MNXR103000,product
cpd_MNXM1107900,rr_MNXR103007,substrate
cpd_MNXM6606,rr_MNXR103007,substrate
cpd_MNXM739991,rr_MNXR103007,product
cpd_MNXM1363910,rr_MNXR103011,substrate
cpd_MNXM1372044,rr_MNXR103011,substrate
cpd_MNXM37,rr_MNXR103011,substrate
cpd_MNXM161,rr_MNXR103011,product
cpd_MNXM1,rr_MNXR103011,product
cpd_MNXM741173,rr_MNXR103011,product
cpd_MNXM9,rr_MNXR103011,product
cpd_MNXM1101289,rr_MNXR103045,substrate
cpd_MNXM40333,rr_MNXR103045,substrate
cpd_MNXM1104391,rr_MNXR103045,product
cpd_MNXM3,rr_MNXR103045,product
cpd_MNXM1226,rr_MNXR103049,substrate
cpd_MNXM1371612,rr_MNXR103049,substrate
cpd_MNXM727034,rr_MNXR103049,product
cpd_MNXM1255,rr_MNXR103104,substrate
cpd_MNXM821,rr_MNXR103104,product
cpd_MNXM10,rr_MNXR103138,substrate
cpd_MNXM1,rr_MNXR103138,substrate
cpd_MNXM792,rr_MNXR103138,substrate
cpd_MNXM1438,rr_MNXR103138,product
cpd_MNXM8,rr_MNXR103138,product
cpd_MNXM1094019,rr_MNXR103149,substrate
cpd_MNXM1108018,rr_MNXR103149,product
cpd_MNXM9,rr_MNXR103149,product
cpd_MNXM1455,rr_MNXR103156,substrate
cpd_MNXM1489,rr_MNXR103156,product
cpd_MNXM1364673,rr_MNXR103159,substrate
cpd_MNXM729799,rr_MNXR103159,product
cpd_MNXM732620,rr_MNXR103159,product
cpd_MNXM1265,rr_MNXR103226,substrate
cpd_MNXM73,rr_MNXR103226,substrate
cpd_MNXM1365,rr_MNXR103226,product
cpd_MNXM9,rr_MNXR103226,product
cpd_MNXM142,rr_MNXR103332,substrate
cpd_MNXM9,rr_MNXR103332,substrate
cpd_MNXM1492,rr_MNXR103332,product
cpd_MNXM118,rr_MNXR103334,substrate
cpd_MNXM735438,rr_MNXR103334,substrate
cpd_MNXM422,rr_MNXR103334,product
cpd_MNXM729302,rr_MNXR103334,product
cpd_MNXM732620,rr_MNXR103334,product
cpd_MNXM118,rr_MNXR103337,substrate
cpd_MNXM1368744,rr_MNXR103337,substrate
cpd_MNXM422,rr_MNXR103337,product
cpd_MNXM741173,rr_MNXR103337,product
cpd_MNXM1093051,rr_MNXR103352,substrate
cpd_MNXM8,rr_MNXR103352,substrate
cpd_MNXM10,rr_MNXR103352,product
cpd_MNXM1,rr_MNXR103352,product
cpd_MNXM741173,rr_MNXR103352,product
cpd_MNXM161,rr_MNXR103355,substrate
cpd_MNXM729302,rr_MNXR103355,substrate
cpd_MNXM732620,rr_MNXR103355,substrate
cpd_MNXM366,rr_MNXR103355,product
cpd_MNXM735438,rr_MNXR103355,product
cpd_MNXM1,rr_MNXR103357,substrate
cpd_MNXM366,rr_MNXR103357,substrate
cpd_MNXM40333,rr_MNXR103357,substrate
cpd_MNXM3,rr_MNXR103357,product
cpd_MNXM548,rr_MNXR103357,product
cpd_MNXM1530,rr_MNXR103360,substrate
cpd_MNXM1,rr_MNXR103360,substrate
cpd_MNXM732620,rr_MNXR103360,substrate
cpd_MNXM311,rr_MNXR103360,product
cpd_MNXM735438,rr_MNXR103360,product
cpd_MNXM161,rr_MNXR103361,substrate
cpd_MNXM1,rr_MNXR103361,substrate
cpd_MNXM40333,rr_MNXR103361,substrate
cpd_MNXM311,rr_MNXR103361,product
cpd_MNXM3,rr_MNXR103361,product
cpd_MNXM311,rr_MNXR103363,substrate
cpd_MNXM732620,rr_MNXR103363,substrate
cpd_MNXM419,rr_MNXR103363,product
cpd_MNXM735438,rr_MNXR103363,product
cpd_MNXM311,rr_MNXR103365,substrate
cpd_MNXM729302,rr_MNXR103365,substrate
cpd_MNXM735438,rr_MNXR103365,substrate
cpd_MNXM548,rr_MNXR103365,product
cpd_MNXM732620,rr_MNXR103365,product
cpd_MNXM1,rr_MNXR103366,substrate
cpd_MNXM311,rr_MNXR103366,substrate
cpd_MNXM738702,rr_MNXR103366,substrate
cpd_MNXM419,rr_MNXR103366,product
cpd_MNXM5,rr_MNXR103366,product
cpd_MNXM311,rr_MNXR103367,substrate
cpd_MNXM729302,rr_MNXR103367,substrate
cpd_MNXM732620,rr_MNXR103367,substrate
cpd_MNXM548,rr_MNXR103367,product
cpd_MNXM735438,rr_MNXR103367,product
cpd_MNXM161,rr_MNXR103368,substrate
cpd_MNXM311,rr_MNXR103368,product
cpd_MNXM9,rr_MNXR103368,product
cpd_MNXM1093051,rr_MNXR103378,substrate
cpd_MNXM5,rr_MNXR103378,substrate
